Diet,Bodyweight
Diet 1,42.69158229503176
Diet 1,37.257568518411
Diet 1,51.40400347245081
Diet 1,58.904059802483324
Diet 1,101.00189001549063
Diet 1,56.54887138021125
Diet 1,44.48422449575131
Diet 1,41.996822994600244
Diet 1,63.388304475182494
Diet 1,35.565622823454675
Diet 1,34.346511456467375
Diet 1,38.48801409890934
Diet 1,38.574838836424824
Diet 1,47.3748835808352
Diet 1,51.88301548934284
Diet 1,39.6655342611561
Diet 1,61.38905637709854
Diet 1,51.808906974150965
Diet 1,48.31599262805646
Diet 1,41.470335875804345
Diet 1,46.16846595460826
Diet 1,59.72716001261534
Diet 1,39.28496829683315
Diet 1,55.500148948459675
Diet 1,61.320189170713704
Diet 1,75.12229722307707
Diet 1,42.57547989888265
Diet 1,44.245340149092996
Diet 1,53.799339444225055
Diet 1,37.769497467392426
Diet 1,48.33193980464062
Diet 1,38.13412383516143
Diet 1,56.75044111929345
Diet 1,34.04491602232412
Diet 1,43.16740037363251
Diet 1,52.92306767052195
Diet 1,66.03465073836003
Diet 1,38.45574456042206
Diet 1,71.89108377348659
Diet 1,45.68784644546784
Diet 1,47.72981496088882
Diet 1,56.99058323993102
Diet 1,49.81642877436198
Diet 1,49.69036118417106
Diet 1,49.015925328744714
Diet 1,46.472836575436034
Diet 1,50.322981264345685
Diet 1,62.267520687500145
Diet 2,60.33628821921309
Diet 2,59.889797868028715
Diet 2,68.47497720333953
Diet 2,63.236302142215166
Diet 2,66.6025093017767
Diet 2,77.46266442101813
Diet 2,76.16563784838118
Diet 2,60.76516794044423
Diet 2,67.9279555973333
Diet 2,61.98062014465726
Diet 2,70.99061920544226
Diet 2,64.98979350393539
Diet 2,81.01195199565105
Diet 2,60.29718174035245
Diet 2,74.48454202585928
Diet 2,69.32758566999023
Diet 2,71.60256173203139
Diet 2,79.67421737751283
Diet 2,69.32603615198325
Diet 2,63.720784364268894
Diet 2,71.97982528757892
Diet 2,72.1442854239467
Diet 2,45.07924326675996
Diet 2,80.75285146621798
Diet 2,67.10996658675978
Diet 2,81.2141008964664
Diet 2,54.36671526897275
Diet 2,64.6483013192929
Diet 2,62.66987503030809
Diet 2,68.83983937080507
Diet 2,73.04352908353397
Diet 2,62.17431324434364
Diet 2,62.142269750757414
Diet 2,60.252926067140706
Diet 2,66.50769037809937
Diet 2,45.53269843183618
Diet 2,66.9107551822752
Diet 2,63.5376248899455
Diet 2,43.69013146473517
Diet 2,48.86998309577846
Diet 2,57.121039600436255
Diet 2,76.2693178710666
Diet 2,65.49570112548763
Diet 2,59.4115198684589
Diet 2,46.66490899602232
Diet 2,67.11421746996973
Diet 2,68.700501533453
Diet 2,71.41350313497922
Diet 3,92.49839658101102
Diet 3,68.46745256726503
Diet 3,72.40394133197933
Diet 3,66.84838541984226
Diet 3,84.9229064453792
Diet 3,86.89218511937715
Diet 3,92.56738210687053
Diet 3,85.1562910264941
Diet 3,70.10571790900309
Diet 3,81.28464837469215
Diet 3,84.0615371873308
Diet 3,80.84803981821914
Diet 3,61.65193564784785
Diet 3,86.51131469026929
Diet 3,107.17472924186374
Diet 3,87.40740457899557
Diet 3,70.83570696121535
Diet 3,74.35052942233662
Diet 3,68.5092706003694
Diet 3,79.5707980401266
Diet 3,69.4994736849459
Diet 3,83.65226557375631
Diet 3,65.65428471235637
Diet 3,60.699756183407864
Diet 3,79.5288035848857
Diet 3,81.12248628584935
Diet 3,86.65423650952286
Diet 3,73.90287662862853
Diet 3,89.30976508018645
Diet 3,91.4579523226149
Diet 3,93.73978917992397
Diet 3,70.33906522716508
Diet 3,86.89024064595533
Diet 3,77.97323328683485
Diet 3,75.19240408116706
Diet 3,72.88735718953289
Diet 3,77.95396643841752
Diet 3,76.76900284785168
Diet 3,68.85967225375887
Diet 3,72.76352112685993
Diet 3,81.78024601057682
Diet 3,69.09559649674897
Diet 3,78.97378819210853
Diet 3,103.40751341073394
Diet 3,76.17266171780659
Diet 3,81.75330172352749
Diet 3,71.4689572946335
Diet 3,82.40681327763896
